TOA5,3F shore (Loadcell)
2022-08-23 13:30:00,0.0
2022-08-23 13:35:00,2.188590000000005
2022-08-23 13:40:00,6.73451
2022-08-23 13:45:00,6.397690000000004
2022-08-23 13:50:00,5.219790000000003
2022-08-23 13:55:00,7.240990000000004
2022-08-23 14:00:00,2.862610000000004
2022-08-23 14:05:00,1.012840000000004
2022-08-23 14:10:00,2.697009999999999
2022-08-23 14:15:00,5.220570000000002
2022-08-23 14:20:00,15.15215
2022-08-23 14:25:00,48.14358000000001
2022-08-23 14:30:00,485.81377
2022-08-23 14:35:00,465.1080700000001
2022-08-23 14:40:00,462.74807
2022-08-23 14:45:00,459.56047
2022-08-23 14:50:00,457.37027
2022-08-23 14:55:00,454.84397
2022-08-23 15:00:00,453.66987
2022-08-23 15:05:00,452.33257
2022-08-23 15:10:00,451.14857
2022-08-23 15:15:00,451.31827
2022-08-23 15:20:00,450.81257
2022-08-23 15:25:00,450.13937
2022-08-23 15:30:00,449.81197
2022-08-23 15:35:00,449.30027
2022-08-23 15:40:00,448.79827
2022-08-23 15:45:00,448.95777
2022-08-23 15:50:00,447.96037
2022-08-23 15:55:00,447.44687
2022-08-23 16:00:00,446.94767
2022-08-23 16:05:00,446.28507
2022-08-23 16:10:00,446.28187
2022-08-23 16:15:00,446.11387
2022-08-23 16:20:00,445.43377
2022-08-23 16:25:00,444.75727
2022-08-23 16:30:00,444.42887
2022-08-23 16:35:00,444.42997
2022-08-23 16:40:00,443.73897
2022-08-23 16:45:00,443.24207
2022-08-23 16:50:00,442.91747
2022-08-23 16:55:00,442.22747
2022-08-23 17:00:00,441.54617
2022-08-23 17:05:00,440.86347
2022-08-23 17:10:00,440.18047
2022-08-23 17:15:00,439.50717
2022-08-23 17:20:00,438.52207
2022-08-23 17:25:00,437.51907
2022-08-23 17:30:00,436.51257
2022-08-23 17:35:00,435.49897
2022-08-23 17:40:00,434.82287
2022-08-23 17:45:00,434.16357
2022-08-23 17:50:00,433.16607
2022-08-23 17:55:00,432.15577
2022-08-23 18:00:00,431.30567
2022-08-23 18:05:00,430.10797
2022-08-23 18:10:00,428.42877
2022-08-23 18:15:00,426.74627
2022-08-23 18:20:00,425.40657
2022-08-23 18:25:00,423.71237
2022-08-23 18:30:00,421.35307
2022-08-23 18:35:00,420.19227
2022-08-23 18:40:00,419.51817
2022-08-23 18:45:00,420.02827
2022-08-23 18:50:00,421.54627
2022-08-23 18:55:00,424.73727
2022-08-23 19:00:00,429.11297
2022-08-23 19:05:00,433.15737
2022-08-23 19:10:00,436.18017
2022-08-23 19:15:00,439.03187
2022-08-23 19:20:00,441.21167
2022-08-23 19:25:00,443.57227
2022-08-23 19:30:00,444.91877
2022-08-23 19:35:00,446.61467
2022-08-23 19:40:00,447.80137
2022-08-23 19:45:00,448.31577
2022-08-23 19:50:00,448.65267
2022-08-23 19:55:00,448.30727
2022-08-23 20:00:00,447.63577
